fullname,birthCountry
John Alvin Bateman,USA
Aaron Bates,USA
William Derrick Bates,USA
Hubert Edgar Bates,USA
Charles William Bates,USA
Delbert Oakley Bates,USA
Charles Richard Bates,USA
Creed Napoleon Bates,USA
Jason Charles Bates,USA
John William Bates,USA
John William Bates,USA
Raymond Bates,USA
William David Bathe,USA
Kevin Wade Batiste,USA
Kimothy Emil Batiste,USA
Miguel Jerez Batista,D.R.
Rafael Batista,D.R.
Leocadio Francisco Batista,D.R.
William McKinley Batsch,USA
Lawrence Battam,USA
Earl Jesse Battey,USA
George Burnett Batten,USA
Joseph V. Battin,USA
Allen Zelmo Battle,USA
Howard Dion Battle,USA
James Milton Battle,USA
Christopher Sean Batton,USA
Matthew Daniel Batts,USA
Albert Bauer,USA
Henry Albert Bauer,USA
Louis Walter Bauer,USA
Richard Edward Bauer,USA
Russell Lee Bauers,USA
Trevor Andrew Bauer,USA
Justin Reis Baughman,USA
George Charles Baumann,USA
Frank Matt Baumann,USA
Charles John Baumann,USA
James Sloan Baumer,USA
George Washington Baumgardner,USA
Harry Edward Baumgartner,USA
John Edward Baumgartner,USA
Ross Baumgarten,USA
Stanwood Fulton Baumgartner,USA
Frank Conrad Baumholtz,USA
George W. Bausewine,USA
Eduardo Bauta,Cuba
Daniel Bautista,D.R.
Denny M. Bautista,D.R.
Jose Joaquin Bautista,D.R.
Jose Antonio Bautista,D.R.
Dimitrios Speros Baxes,USA
Michael Baxes,USA
Michael Joseph Baxter,USA
John Morris Baxter,USA
Harry Elbert Bay,USA
Jason Raymond Bay,CAN
Harry Owen Bayless,USA
Jonah James Bayliss,USA
Don Edward Baylor,USA
